40000162449                     0             LSYHKAAA8AK008704376560         ITopicAzulEscolar16L-4P-Longa-GNV-                                               2012022020110223	AR                                                                                                      
40000162449                     0             LSYHDAAB3BK147143126111         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110729	465212
40000162449                     0             LSYHDAAB0BK147150126111         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110729	465212
40000162449                     0             LSYHDAAB4BK140427126114         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110729	465212
40000162449                     0             LSYHDAAB3BK133484130550         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB2BK133511130555         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB2BK140426136176         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYBCAAB4BK134782136509         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAABXBK147155138617         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB6BK147167138617         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB1BK147156138618         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB4BK140430149481         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB7BK147176149481         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB1BK133483150513         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB5BK147144150513         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB8BK133481149983         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB7BK147162150513         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAABXBK133482150513         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB7BK133486150877         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB9BK133487150877         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB6BK148593151359         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012090220110902	465212
40000162449                     0             LSYHDAAB2BK133489151296         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012090220110902	465212
40000162449                     0             LSYHDAAB6BK133513151366         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012090220110902	465212
40000162449                     0             LSYHDAAB6BK133494151357         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012090220110902	465212
40000162449                     0             LSYHDAAB1BK148596151359         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012011020110119	465212
40000162449                     0             LSYHDAAB4BK133493151357         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012011020110119	465212
40000162449                     0             LSYHDAAB1BK148498151359         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012011020110119	465212
40000162449                     0             LSYHDAAB0BK133510151349         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012012020110121	465212
